num_tasks,min_sleep,max_sleep,T_sum_task_times,T_workflow,n_parallelism
1000,0.001,0.01,5.460511336033041,0.9356884956359863,16
2000,0.001,0.01,11.024134440721824,1.7691924571990967,16
4000,0.001,0.01,22.140891949446154,3.96429705619812,16
8000,0.001,0.01,44.21589097997912,9.196458578109741,16
20000,0.001,0.01,110.07257105756409,29.153006076812744,16
40000,0.001,0.01,221.1248404523629,79.80155277252197,16
60000,0.001,0.01,330.7875080186195,152.57521533966064,16
80000,0.001,0.01,439.5663352222861,239.59497332572937,16
1000,0.01,0.1,54.98852854435972,3.824794054031372,16
2000,0.01,0.1,111.21537172150069,7.761895656585693,16
4000,0.01,0.1,217.90756471216713,15.985621929168701,16
8000,0.01,0.1,439.9673808770627,32.364166259765625,16
20000,0.01,0.1,1098.5927999369962,88.59492111206055,16
40000,0.01,0.1,2197.746899362894,192.12490463256836,16
60000,0.01,0.1,3295.686372777481,318.2293601036072,16
80000,0.01,0.1,4401.683584462239,456.9942033290863,16
1000,0.1,1.0,544.7668640764037,34.79778552055359,16
2000,0.1,1.0,1097.527055776705,70.60150218009949,16
4000,0.1,1.0,2190.8127278532893,139.69620752334595,16
8000,0.1,1.0,4426.377626211841,281.1515562534332,16
20000,0.1,1.0,11017.604539573205,704.6656563282013,16
40000,0.1,1.0,21973.194941154503,1421.5386748313904,16
60000,0.1,1.0,33076.551017681486,2161.2199397087097,16
80000,0.1,1.0,44112.8699391081,2910.1870391368866,16
