num_tasks,min_sleep,max_sleep,data_size_mb,T_sum_task_times,T_workflow,sum_data_size,n_parallelism
1000,0.1,1.0,1,563.1034157276154,36.02218747138977,131072,16
2000,0.1,1.0,1,1101.8954615592957,70.71763586997986,131072,16
4000,0.1,1.0,1,2229.8602528572083,141.92126154899597,131072,16
8000,0.1,1.0,1,4394.488815546036,279.14999127388,131072,16
20000,0.1,1.0,1,11019.237919330597,699.3294742107391,131072,16
40000,0.1,1.0,1,22097.103318214417,1402.3184757232666,131072,16
60000,0.1,1.0,1,33106.393231630325,2102.573348045349,131072,16
80000,0.1,1.0,1,44180.36380195618,2804.2620861530304,131072,16
1000,0.1,1.0,10,552.8800327777863,37.50387191772461,1310720,16
2000,0.1,1.0,10,1122.3975915908813,72.01744103431702,1310720,16
4000,0.1,1.0,10,2245.8350760936737,142.96306610107422,1310720,16
8000,0.1,1.0,10,4491.258739233017,285.4299120903015,1310720,16
20000,0.1,1.0,10,11160.119887828827,707.5594503879547,1310720,16
40000,0.1,1.0,10,22295.049812555313,1414.5653939247131,1310720,16
60000,0.1,1.0,10,33617.317328214645,2131.6265666484833,1310720,16
80000,0.1,1.0,10,44733.85625267029,2836.297572851181,1310720,16
1000,0.1,1.0,100,626.6027543544769,42.96993160247803,13107200,16
2000,0.1,1.0,100,1299.0043382644653,84.04905319213867,13107200,16
4000,0.1,1.0,100,2548.3889894485474,163.19181180000305,13107200,16
8000,0.1,1.0,100,5162.423746347427,328.8538234233856,13107200,16
20000,0.1,1.0,100,12900.427598953247,819.1430447101593,13107200,16
40000,0.1,1.0,100,25808.59702515602,1637.642215013504,13107200,16
60000,0.1,1.0,100,38647.96583080292,2452.0108830928802,13107200,16
80000,0.1,1.0,100,51527.7877972126,3268.5741748809814,13107200,16
1000,0.1,1.0,1000,2036.9559998512268,163.83994150161743,131072000,16
2000,0.1,1.0,1000,4183.554569005966,331.60155391693115,131072000,16
4000,0.1,1.0,1000,8119.291873216629,640.8176636695862,131072000,16
8000,0.1,1.0,1000,40831.304822683334,9230.403486728668,131072000,16
20000,0.1,1.0,1000,31934.342374563217,3425.9987666606903,131072000,16
40000,0.1,1.0,1000,63728.36228132248,6818.474987745285,131072000,16
60000,0.1,1.0,1000,95717.96227478981,10226.165343284607,131072000,16
80000,0.1,1.0,1000,127728.43415212631,13632.272616147995,131072000,16
