,date_and_time,developer,system_name,workflow,n_subflows,min_sleep,max_sleep,Wall clock time,Sum of sleep times,n_threads,n_processes,n_parallelism,runner,workflow_orchestration_framework,backend_database,workflow_type,total_memory
0,2025-04-14T17:27:39.731900,amcnicho,akaogiite,flow_scaling_test,30,0.001,0.01,1.3420767784118652,0.17875027863579074,1,12,12,<class 'prefect.task_runners.ThreadPoolTaskRunner'>,Prefect,postgreSQL,flow,36.0
0,2025-04-14T17:29:01.681164,amcnicho,akaogiite,flow_scaling_test,100,0.001,0.01,4.442223072052002,0.5638028364347724,1,12,12,<class 'prefect.task_runners.ThreadPoolTaskRunner'>,Prefect,postgreSQL,flow,36.0
0,2025-04-14T17:33:19.859092,amcnicho,akaogiite,flow_scaling_test,300,0.001,0.01,18.05264711380005,1.6311059163218897,1,12,12,<class 'prefect.task_runners.ThreadPoolTaskRunner'>,Prefect,postgreSQL,flow,36.0
0,2025-04-14T17:47:31.410440,amcnicho,akaogiite,flow_scaling_test,1000,0.001,0.01,77.48889493942261,5.522167381336166,1,12,12,<class 'prefect.task_runners.ThreadPoolTaskRunner'>,Prefect,postgreSQL,flow,36.0
0,2025-04-14T17:47:44.958882,amcnicho,akaogiite,task_scaling_test,1000,0.001,0.01,8.389512062072754,7.466336306773323,12,1,12,<class 'prefect.task_runners.ThreadPoolTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-14T17:48:01.852884,amcnicho,akaogiite,task_scaling_test,2000,0.001,0.01,16.731779098510742,4.902702237073333,12,1,12,<class 'prefect.task_runners.ThreadPoolTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-14T17:48:35.655346,amcnicho,akaogiite,task_scaling_test,4000,0.001,0.01,33.63018178939819,10.390961827527523,12,1,12,<class 'prefect.task_runners.ThreadPoolTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-14T17:49:43.176798,amcnicho,akaogiite,task_scaling_test,8000,0.001,0.01,67.23193979263306,27.191860054890242,12,1,12,<class 'prefect.task_runners.ThreadPoolTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-14T17:51:56.683643,amcnicho,akaogiite,task_scaling_test,16000,0.001,0.01,133.145770072937,82.65214160997498,12,1,12,<class 'prefect.task_runners.ThreadPoolTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-14T17:56:26.243508,amcnicho,akaogiite,task_scaling_test,32000,0.001,0.01,269.3819570541382,122.91839301361334,12,1,12,<class 'prefect.task_runners.ThreadPoolTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-14T18:05:15.512214,amcnicho,akaogiite,task_scaling_test,64000,0.001,0.01,529.1011798381805,231.54683733032402,12,1,12,<class 'prefect.task_runners.ThreadPoolTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-14T18:16:10.089627,amcnicho,akaogiite,task_scaling_test,80000,0.001,0.01,654.4082198143005,492.4532556149072,12,1,12,<class 'prefect.task_runners.ThreadPoolTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-14T18:33:40.102418,amcnicho,akaogiite,task_scaling_test,128000,0.001,0.01,1049.8509638309479,496.92533112677455,12,1,12,<class 'prefect.task_runners.ThreadPoolTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-14T18:33:48.960712,amcnicho,akaogiite,task_scaling_test,1000,0.001,0.01,8.371747016906738,3.6656192403028123,12,1,12,<class 'prefect_dask.task_runners.DaskTaskRunner'>,Prefect,postgreSQL,task,36.0
